MQ2,MQ3,MQ135,Humidity,Temperature,Label
27.12,14.42,21.64,56.5,34.4,Layak
27.12,14.42,21.54,56.5,34.5,Layak
27.25,14.47,21.64,56.5,34.5,Layak
27.25,14.53,21.64,56.5,34.4,Layak
27.39,14.53,21.64,56.5,34.4,Layak
27.25,14.53,21.64,56.5,34.4,Layak
27.39,14.59,21.74,56.5,34.4,Layak
27.39,14.59,21.74,56.5,34.4,Layak
27.39,14.59,21.64,56.5,34.5,Layak
27.53,14.59,21.64,56.5,34.5,Layak
27.53,14.59,21.64,56.5,34.5,Layak
27.53,14.59,21.64,56.5,34.5,Layak
27.67,14.65,21.64,56.5,34.5,Layak
27.81,14.65,21.74,56.5,34.5,Layak
27.81,14.65,21.74,56.5,34.5,Layak
27.95,14.65,21.74,56.5,34.5,Layak
27.95,14.71,21.74,56.5,34.5,Layak
28.09,14.71,21.84,56.5,34.5,Layak
28.09,14.77,21.93,56.5,34.5,Layak
28.23,14.77,21.93,56.5,34.5,Layak
28.23,14.71,21.93,56.5,34.5,Layak
28.23,14.71,21.93,56.5,34.5,Layak
28.23,14.71,21.93,56.5,34.5,Layak
28.23,14.71,21.93,56.5,34.5,Layak
28.37,14.77,21.93,56.5,34.5,Layak
28.37,14.77,21.93,56.6,34.5,Layak
28.37,14.77,22.03,56.6,34.5,Layak
28.37,14.77,22.03,56.6,34.5,Layak
28.52,14.83,22.03,56.6,34.5,Layak
28.52,14.83,22.14,56.6,34.5,Layak
28.66,14.83,22.03,56.6,34.5,Layak
28.66,14.83,22.14,56.6,34.5,Layak
28.81,14.83,22.14,56.6,34.5,Layak
28.81,14.83,22.14,56.6,34.6,Layak
28.81,14.83,22.03,56.6,34.6,Layak
28.81,14.83,22.14,56.6,34.6,Layak
28.96,14.83,22.14,56.6,34.6,Layak
28.66,14.83,22.03,56.6,34.6,Layak
28.66,14.83,21.93,56.6,34.6,Layak
28.66,14.77,21.93,56.6,34.6,Layak
28.52,14.77,22.03,56.6,34.6,Layak
28.52,14.77,22.03,56.6,34.5,Layak
28.66,14.77,22.03,56.6,34.6,Layak
28.66,14.77,22.03,56.6,34.6,Layak
28.66,14.77,22.03,56.6,34.6,Layak
28.52,14.71,22.03,56.6,34.6,Layak
9.42,25.63,25.72,56.7,36.4,Layak
9.35,25.5,25.35,57.1,36.5,Layak
9.35,25.75,25.47,57.4,36.3,Layak
9.27,25.63,25.35,59.7,36.3,Layak
9.09,25.63,25.11,58.9,36.3,Layak
9.02,25.75,24.99,59.4,36.3,Layak
8.05,22.86,24.63,62.0,35.7,Layak
8.34,24.77,24.99,62.7,35.8,Layak
8.44,24.89,25.23,63.1,35.6,Layak
8.54,25.01,25.35,63.5,35.6,Layak
8.61,25.25,25.23,63.7,35.5,Layak
8.68,25.5,25.72,64.0,35.5,Layak
8.68,25.25,25.6,64.3,35.5,Layak
8.74,25.75,25.6,64.5,35.5,Layak
8.71,25.75,25.6,64.0,34.8,Layak
8.95,25.88,26.1,64.6,35.6,Layak
8.51,25.13,25.47,64.6,35.6,Layak
8.51,25.13,25.35,64.7,35.6,Layak
8.51,25.13,25.23,64.6,35.7,Layak
8.44,25.01,25.11,64.6,35.8,Layak
8.44,25.13,25.47,64.7,35.8,Layak
8.44,25.13,25.35,64.6,35.6,Layak
8.44,24.89,25.11,64.6,35.9,Layak
8.44,25.01,25.47,64.7,35.9,Layak
