timestamp,suhu,kelembapan,mq135,mq3,mq2,label
01/12/2025 12:18,31.9,92.5,1279,1534,231,Layak
01/12/2025 12:19,31.9,90.4,1295,1520,228,Layak
01/12/2025 12:19,31.9,91.9,1278,1533,223,Layak
01/12/2025 12:20,31.8,88.2,1289,1535,223,Layak
01/12/2025 12:20,31.8,90.2,1265,1535,230,Layak
01/12/2025 12:20,31.8,91.3,1239,1527,226,Layak
01/12/2025 12:21,31.8,87.9,1258,1531,224,Layak
01/12/2025 12:21,31.8,88.9,1229,1520,223,Layak
01/12/2025 12:21,31.8,86.7,1210,1508,226,Layak
01/12/2025 12:22,31.8,86.3,1186,1501,219,Layak
01/12/2025 12:22,31.8,87.0,1168,1494,219,Layak
01/12/2025 12:23,31.8,86.4,1139,1488,221,Layak
01/12/2025 12:23,31.8,86.6,1143,1487,220,Layak
01/12/2025 12:23,31.8,88.3,1137,1490,224,Layak
01/12/2025 12:24,31.8,86.5,1114,1482,217,Layak
01/12/2025 12:24,31.8,85.8,1108,1478,213,Layak
01/12/2025 12:24,31.8,86.6,1094,1508,218,Layak
01/12/2025 12:25,31.8,86.2,1086,1488,209,Layak
01/12/2025 12:25,31.8,88.2,1086,1482,218,Layak
01/12/2025 12:26,31.7,86.0,1073,1477,221,Layak
01/12/2025 12:26,31.7,84.7,1072,1481,215,Layak
01/12/2025 12:26,31.7,85.9,1082,1479,221,Layak
01/12/2025 12:27,31.7,87.1,1088,1487,217,Layak
01/12/2025 12:27,31.7,87.1,1072,1487,215,Layak
01/12/2025 12:27,31.7,86.5,1072,1488,219,Layak
01/12/2025 12:28,31.7,87.4,1067,1478,218,Layak
01/12/2025 12:28,31.7,85.8,1057,1476,213,Layak
01/12/2025 12:29,31.7,84.7,1045,1483,218,Layak
01/12/2025 12:29,31.7,85.0,1037,1487,210,Layak
01/12/2025 12:29,31.7,86.7,1023,1483,211,Layak
01/12/2025 12:30,31.6,85.6,1035,1491,210,Layak
01/12/2025 12:30,31.6,85.0,1041,1488,221,Layak
01/12/2025 12:30,31.6,85.2,1023,1494,215,Layak
01/12/2025 12:31,31.6,85.9,1036,1488,215,Layak
01/12/2025 12:31,31.6,85.5,1023,1504,212,Layak
01/12/2025 12:32,31.6,89.6,1049,1514,218,Layak
01/12/2025 12:32,31.6,89.5,1045,1517,218,Layak
01/12/2025 12:32,31.6,86.4,1007,1502,212,Layak
01/12/2025 12:33,31.6,85.1,995,1494,213,Layak
01/12/2025 12:33,31.6,85.6,992,1506,214,Layak
01/12/2025 12:33,31.6,85.1,980,1493,218,Layak
01/12/2025 12:34,31.6,88.8,974,1494,214,Layak
01/12/2025 12:34,31.6,86.5,979,1507,213,Layak
01/12/2025 12:35,31.6,88.2,971,1509,213,Layak
01/12/2025 12:35,31.7,90.4,974,1514,211,Layak
01/12/2025 12:35,31.7,90.3,963,1510,212,Layak
01/12/2025 12:36,31.7,91.3,946,1531,214,Layak
01/12/2025 12:36,31.6,90.7,961,1517,212,Layak
01/12/2025 12:36,31.6,89.8,948,1515,215,Layak
01/12/2025 12:37,31.6,87.8,976,1526,214,Layak
01/12/2025 12:37,31.6,86.9,944,1524,213,Layak
01/12/2025 12:38,31.6,88.1,949,1518,213,Layak
01/12/2025 12:38,31.6,85.7,925,1511,214,Layak
01/12/2025 12:38,31.6,88.1,925,1504,208,Layak
01/12/2025 12:39,31.6,86.1,912,1515,209,Layak
01/12/2025 12:39,31.6,88.1,909,1518,209,Layak
01/12/2025 12:39,31.6,88.2,922,1522,210,Layak
01/12/2025 12:40,31.6,90.8,923,1519,221,Layak
01/12/2025 12:40,31.6,88.8,907,1520,210,Layak
01/12/2025 12:41,31.6,85.0,887,1510,208,Layak
01/12/2025 12:41,31.6,85.2,855,1519,208,Layak
01/12/2025 12:41,31.6,87.1,878,1518,276,Layak
01/12/2025 12:42,31.6,84.9,885,1527,217,Layak
01/12/2025 12:42,31.6,84.4,862,1506,209,Layak
01/12/2025 12:42,31.6,83.0,864,1507,209,Layak
01/12/2025 12:43,31.6,85.2,879,1515,210,Layak
01/12/2025 12:43,31.6,84.7,859,1509,208,Layak
01/12/2025 12:44,31.6,87.5,874,1518,209,Layak
01/12/2025 12:44,31.6,88.4,865,1521,208,Layak
01/12/2025 12:44,31.6,89.3,855,1528,211,Layak
01/12/2025 12:45,31.6,88.5,862,1526,211,Layak
01/12/2025 12:45,31.6,86.8,851,1527,208,Layak
01/12/2025 12:45,31.6,87.1,850,1527,208,Layak
01/12/2025 12:46,31.6,86.6,848,1535,208,Layak
01/12/2025 12:46,31.6,88.3,848,1533,208,Layak
01/12/2025 12:47,31.6,88.6,836,1535,208,Layak
01/12/2025 12:47,31.6,88.1,826,1535,208,Layak
01/12/2025 12:47,31.6,84.7,816,1521,218,Layak
01/12/2025 12:48,31.6,84.8,819,1525,208,Layak
01/12/2025 12:48,31.6,85.9,832,1568,210,Layak
01/12/2025 12:48,31.6,86.8,816,1525,210,Layak
01/12/2025 12:49,31.6,87.4,800,1529,207,Layak
01/12/2025 12:49,31.6,86.0,812,1523,208,Layak
01/12/2025 12:50,31.6,87.4,816,1535,213,Layak
01/12/2025 12:50,31.6,88.8,818,1535,208,Layak
01/12/2025 12:50,31.6,87.1,825,1535,209,Layak
01/12/2025 12:51,31.6,89.0,813,1535,208,Layak
01/12/2025 12:51,31.6,88.1,816,1535,205,Layak
01/12/2025 12:51,31.6,89.5,805,1557,208,Layak
01/12/2025 12:52,31.5,87.6,817,1558,209,Layak
01/12/2025 12:52,31.5,87.7,800,1535,209,Layak
01/12/2025 12:53,31.5,87.8,798,1535,206,Layak
01/12/2025 12:53,31.5,86.2,806,1557,208,Layak
01/12/2025 12:53,31.5,84.4,803,1535,208,Layak
01/12/2025 12:54,31.5,87.2,806,1557,278,Layak
01/12/2025 12:54,31.6,85.6,801,1535,208,Layak
01/12/2025 12:55,31.5,85.8,811,1535,209,Layak
01/12/2025 12:55,31.6,89.4,814,1609,210,Layak
01/12/2025 12:55,31.6,89.4,818,1573,206,Layak
01/12/2025 12:56,31.6,86.2,784,1557,208,Layak
